name,name_NYUcoor,brain_data,coordinates,T1_X,T1_Y,T1_Z,MNI_X,MNI_Y,MNI_Z,type,reg1,reg1_percent,reg2,reg2_percent,reg3,reg3_percent,reg4,reg4_percent
EEGGR_01REF,G01,0,1,-33.393532,-63.519859,29.316677,-47,-57,60.5,G,superiorparietal,100,,0,,0,,0
EEGGR_02REF,G02,0,1,-41.511295,-64.074821,22.945692,-54,-57,51,G,supramarginal,100,,0,,0,,0
EEGGR_03REF,G03,0,1,-47.41288,-63.851688,15.096312,-60,-57,41,G,supramarginal,80.53,inferiorparietal,19.47,,0,,0
EEGGR_04REF,G04,0,1,-49.557571,-62.804436,6.237577,-62,-57,31,G,inferiorparietal,100,,0,,0,,0
EEGGR_05REF,G05,0,1,-49.878941,-60.365547,-2.785896,-62.5,-57,21.5,G,inferiorparietal,100,,0,,0,,0
EEGGR_06REF,G06,0,1,-49.921646,-58.555706,-12.112644,-63.6,-59.2,9.2,G,cMTG,100,,0,,0,,0
EEGGR_09REF,G09,0,1,-38.473125,-55.889225,32.099289,-51.5,-45.5,61.5,G,superiorparietal,100,,0,,0,,0
EEGGR_10REF,G10,0,1,-45.954666,-55.282146,25.333355,-58,-46,52,G,supramarginal,100,,0,,0,,0
EEGGR_11REF,G11,0,1,-50.765179,-54.82291,16.766394,-62.857143,-46.857143,40.857143,G,supramarginal,100,,0,,0,,0
EEGGR_12REF,G12,0,1,-53.819912,-53.313744,8.015574,-65.6,-46.8,31.2,G,supramarginal,100,,0,,0,,0
EEGGR_13REF,G13,0,1,-54.826679,-51.698601,-1.428194,-66.857143,-47.142857,19.142857,G,supramarginal,100,,0,,0,,0
EEGGR_14REF,G14,0,1,-54.775898,-49.866665,-11.18841,-68,-49,8,G,cMTG,100,,0,,0,,0
EEGGR_15REF,G15,0,1,-53.839771,-47.747257,-20.195915,-68,-50.5,-4,G,cMTG,100,,0,,0,,0
EEGGR_17REF,G17,0,1,-42.978161,-46.948036,34.638245,-54,-33,60,G,postcentral,100,,0,,0,,0
EEGGR_18REF,G18,0,1,-49.856812,-46.631634,27.781599,-60,-34.666667,50.666667,G,supramarginal,100,,0,,0,,0
EEGGR_19REF,G19,0,1,-54.369976,-45.867798,19.073771,-66,-35,41,G,supramarginal,100,,0,,0,,0
EEGGR_20REF,G20,0,1,-56.373024,-43.568226,10.146439,-66.666667,-36,30.666667,G,supramarginal,100,,0,,0,,0
EEGGR_21REF,G21,0,1,-58.050053,-41.737892,0.900589,-70,-36.666667,18.666667,G,cSTG,100,,0,,0,,0
EEGGR_22REF,G22,0,1,-58.619003,-40.467159,-9.030617,-71,-39,7,G,cSTG,100,,0,,0,,0
EEGGR_23REF,G23,0,1,-58.110451,-37.486156,-18.315765,-72,-39,-5,G,cMTG,100,,0,,0,,0
EEGGR_25REF,G25,0,1,-46.387241,-38.16386,36.783978,-57.333333,-23.333333,58,G,postcentral,100,,0,,0,,0
EEGGR_26REF,G26,0,1,-51.434753,-36.578213,29.024565,-62.8,-23.2,50.4,G,postcentral,100,,0,,0,,0
EEGGR_27REF,G27,0,1,-54.983494,-35.586834,20.49313,-66.857143,-22.857143,38.857143,G,supramarginal,100,,0,,0,,0
EEGGR_28REF,G28,0,1,-56.773319,-34.143803,10.935228,-68.666667,-25.333333,28,G,supramarginal,100,,0,,0,,0
EEGGR_29REF,G29,0,1,-58.084721,-32.014393,1.634226,-71.2,-26.4,16.8,G,supramarginal,100,,0,,0,,0
EEGGR_30REF,G30,0,1,-59.825478,-29.779938,-7.167244,-71.2,-26.4,5.2,G,cSTG,100,,0,,0,,0
EEGGR_31REF,G31,0,1,-59.031162,-27.691891,-17.093708,-72.8,-28.4,-7.2,G,mMTG,100,,0,,0,,0
EEGGR_33REF,G33,0,1,-45.208744,-28.17794,37.349281,-56,-13,56,G,postcentral,100,,0,,0,,0
EEGGR_34REF,G34,0,1,-51.456669,-26.993671,30.18174,-62.666667,-13,46.666667,G,postcentral,100,,0,,0,,0
EEGGR_35REF,G35,0,1,-55.045315,-25.405405,21.866804,-67,-13,36,G,postcentral,100,,0,,0,,0
EEGGR_36REF,G36,0,1,-57.176392,-23.351519,12.417973,-70,-13.333333,26.666667,G,postcentral,100,,0,,0,,0
EEGGR_37REF,G37,0,1,-58.225822,-21.488752,3.150139,-71,-14,16,G,postcentral,100,,0,,0,,0
EEGGR_38REF,G38,0,1,-59.73616,-20.015141,-6.35469,-71.6,-16.8,4.8,G,cSTG,100,,0,,0,,0
EEGGR_39REF,G39,0,1,-59.841724,-17.98749,-15.018435,-71.5,-16.5,-6,G,cSTG,100,,0,,0,,0
EEGGR_41REF,G41,0,1,-45.337517,-19.341743,38.375126,-56,-4.666667,54.666667,G,precentral,100,,0,,0,,0
EEGGR_42REF,G42,0,1,-50.527954,-16.971867,30.999592,-61.333333,-2.666667,44,G,precentral,100,,0,,0,,0
