name,name_NYUcoor,brain_data,coordinates,T1_X,T1_Y,T1_Z,MNI_X,MNI_Y,MNI_Z,type,reg1,reg1_percent,reg2,reg2_percent,reg3,reg3_percent
EEGG_1REF,G01,0,0,-42.932175,39.393105,8.667489,-51.333333,42.666667,22,G,rostralmiddlefrontal,100,,0,,0
EEGG_2REF,G02,0,0,-44.564938,31.301077,12.481891,-54,36,27,G,rostralmiddlefrontal,59.68,parsopercularis,40.32,,0
EEGG_3REF,G03,0,0,-46.749264,22.8953,16.451567,-55,28,33,G,rostralmiddlefrontal,100,,0,,0
EEGG_4REF,G04,0,0,-46.438072,13.998416,19.917416,-55.333333,20,38.666667,G,caudalmiddlefrontal,100,,0,,0
EEGG_5REF,G05,0,0,-45.262585,4.383171,23.02079,-56,11,45,G,precentral,100,,0,,0
EEGG_6REF,G06,0,0,-45.199665,-4.251798,26.62653,-54,1,52,G,precentral,100,,0,,0
EEGG_7REF,G07,0,0,-41.342564,-13.478705,29.371113,-50.666667,-7,58.666667,G,precentral,100,,0,,0
EEGG_8REF,G08,0,0,-39.350826,-22.568754,32.710522,-50,-16.666667,62.666667,G,precentral,100,,0,,0
EEGG_9REF,G09,0,0,-49.784473,36.799995,0.181763,-58,40,13,G,parstriangularis,100,,0,,0
EEGG_10REF,G10,0,0,-51.030132,27.427538,4.077523,-62,31,19,G,parstriangularis,100,,0,,0
EEGG_11REF,G11,0,0,-53.130154,19.169516,7.67324,-63.6,23.2,23.2,G,parsopercularis,100,,0,,0
EEGG_12REF,G12,0,0,-51.158741,9.751753,11.151658,-61.333333,13.333333,31.333333,G,parsopercularis,100,,0,,0
EEGG_13REF,G13,0,0,-53.656498,1.481617,15.224706,-61.5,6.5,37,G,precentral,100,,0,,0
EEGG_14REF,G14,0,0,-52.702171,-7.816533,18.680708,-62,-2,43,G,precentral,100,,0,,0
EEGG_15REF,G15,0,0,-50.669895,-17.701086,22.281879,-60.666667,-12,50.666667,G,postcentral,100,,0,,0
EEGG_16REF,G16,0,0,-50.472664,-26.461943,25.736181,-58.666667,-21,55,G,postcentral,100,,0,,0
EEGG_17REF,G17,0,0,-53.099365,32.518826,-9.19673,-62,35,3,G,parstriangularis,100,,0,,0
EEGG_18REF,G18,0,0,-54.71365,23.773312,-5.184725,-65,26,8,G,parstriangularis,100,,0,,0
EEGG_19REF,G19,0,0,-53.620422,14.548831,-1.76608,-64.666667,15.333333,15,G,precentral,100,,0,,0
EEGG_20REF,G20,0,0,-58.49057,5.694522,3.003449,-68,8,23,G,precentral,100,,0,,0
EEGG_21REF,G21,0,0,-58.612389,-2.870111,6.162963,-68,0.666667,28.666667,G,precentral,100,,0,,0
EEGG_22REF,G22,0,0,-58.071308,-12.493997,10.25883,-67,-8,34,G,postcentral,100,,0,,0
EEGG_23REF,G23,0,0,-58.098454,-21.716314,14.026616,-67.5,-17.5,41,G,postcentral,100,,0,,0
EEGG_24REF,G24,0,0,-55.809185,-30.696188,17.486292,-64,-24.666667,47.333333,G,postcentral,100,,0,,0
EEGG_25REF,G25,0,0,-51.791286,27.257824,-18.279097,-60,28.666667,-6.666667,G,parstriangularis,100,,0,,0
EEGG_26REF,G26,0,0,-52.975674,18.513723,-14.970895,-62,19,-2,G,parstriangularis,100,,0,,0
EEGG_27REF,G27,0,0,-56.931293,10.337243,-11.025309,-66,11.333333,3.333333,G,precentral,100,,0,,0
EEGG_28REF,G28,0,0,-60.07859,1.288289,-6.915145,-70.857143,2.857143,12.857143,G,postcentral,100,,0,,0
EEGG_29REF,G29,0,0,-61.169525,-7.935977,-2.200753,-71,-6.666667,18.666667,G,postcentral,100,,0,,0
EEGG_30REF,G30,0,0,-61.153561,-16.78413,1.426085,-71.2,-14.4,24.8,G,postcentral,100,,0,,0
EEGG_31REF,G31,0,0,-60.755226,-26.086918,5.551103,-68.857143,-23.142857,32.857143,G,supramarginal,100,,0,,0
EEGG_32REF,G32,0,0,-59.621574,-35.387131,9.184899,-67.2,-32.8,39.6,G,supramarginal,100,,0,,0
EEGG_33REF,G33,0,0,-48.331173,21.646915,-27.822691,-57.333333,22,-15.333333,G,rSTG,100,,0,,0
EEGG_34REF,G34,0,0,-55.734356,14.046844,-24.086199,-64,13,-11,G,rSTG,100,,0,,0
EEGG_35REF,G35,0,0,-59.083485,5.546536,-20.00593,-68.8,4.8,-4.4,G,mSTG,100,,0,,0
EEGG_36REF,G36,0,0,-61.075481,-3.160474,-15.855891,-71,-4,3,G,mSTG,100,,0,,0
EEGG_37REF,G37,0,0,-62.524578,-12.07476,-11.028625,-72,-12.666667,9.333333,G,mSTG,100,,0,,0
EEGG_38REF,G38,0,0,-62.997528,-21.494257,-7.734303,-71,-21,17,G,supramarginal,100,,0,,0
EEGG_39REF,G39,0,0,-63.099449,-31.003834,-3.278248,-70.666667,-30,24.666667,G,supramarginal,100,,0,,0
EEGG_40REF,G40,0,0,-61.051182,-39.64782,0.939189,-67,-38,31,G,supramarginal,100,,0,,0
EEGG_41REF,G41,0,0,-51.065815,17.39893,-36.941525,-59,16.666667,-23.333333,G,rSTG,100,,0,,0
EEGG_42REF,G42,0,0,-57.50034,9.705522,-33.565044,-65.333333,7.333333,-20,G,rMTG,100,,0,,0
EEGG_43REF,G43,0,0,-61.496223,1.126623,-29.015596,-68.8,-0.8,-14.4,G,rMTG,100,,0,,0
EEGG_44REF,G44,0,0,-62.066467,-7.819936,-24.513727,-71.2,-8.8,-6,G,rMTG,100,,0,,0
EEGG_45REF,G45,0,0,-64.386276,-17.086002,-20.825609,-72,-19,2,G,cSTG,100,,0,,0
EEGG_46REF,G46,0,0,-65.214088,-26.19212,-16.202669,-72.666667,-28,7.333333,G,cSTG,100,,0,,0
EEGG_47REF,G47,0,0,-64.127113,-34.791058,-12.018582,-71.2,-34.4,14.8,G,cSTG,100,,0,,0
EEGG_48REF,G48,0,0,-61.355377,-44.094078,-7.956457,-68.5,-45,22.5,G,cSTG,100,,0,,0
EEGG_49REF,G49,0,0,-51.890465,12.897428,-46.423431,-58,9.333333,-34.666667,G,rMTG,100,,0,,0
EEGG_50REF,G50,0,0,-58.015537,4.73866,-42.539165,-64.666667,1,-28.666667,G,rMTG,100,,0,,0
EEGG_51REF,G51,0,0,-62.74757,-3.866503,-38.064342,-69,-7.333333,-21.333333,G,mMTG,100,,0,,0
EEGG_52REF,G52,0,0,-64.316544,-12.910269,-33.981541,-73,-15.333333,-12.666667,G,mMTG,100,,0,,0
EEGG_53REF,G53,0,0,-65.22757,-22.015051,-29.95471,-73,-26,-7,G,mMTG,100,,0,,0
EEGG_54REF,G54,0,0,-65.462845,-30.984989,-24.979475,-71.5,-33.5,-0.5,G,mMTG,100,,0,,0
EEGG_55REF,G55,0,0,-64.32457,-39.805141,-20.819279,-71.333333,-41,7.333333,G,cSTG,100,,0,,0
EEGG_56REF,G56,0,0,-61.524044,-48.145538,-16.53294,-67,-49,13,G,cSTG,100,,0,,0
EEGG_57REF,G57,0,0,-48.276966,7.491591,-55.651989,-54,3,-44,G,inferiortemporal,100,,0,,0
EEGG_58REF,G58,0,0,-57.123386,-0.191261,-51.617504,-61,-6,-36,G,inferiortemporal,100,,0,,0
EEGG_59REF,G59,0,0,-61.284107,-9.034381,-47.754925,-67,-14.666667,-29.333333,G,inferiortemporal,100,,0,,0
EEGG_60REF,G60,0,0,-63.400604,-17.962624,-43.286461,-70,-22,-23,G,mMTG,100,,0,,0
EEGG_61REF,G61,0,0,-63.353466,-26.368822,-38.405102,-71.333333,-30.666667,-17,G,mMTG,100,,0,,0
EEGG_62REF,G62,0,0,-64.311417,-34.905876,-33.628578,-70.857143,-39.142857,-9.142857,G,mMTG,100,,0,,0
EEGG_63REF,G63,0,0,-62.655849,-44.371464,-29.986382,-69.333333,-48,-2.666667,G,cMTG,100,,0,,0
EEGG_64REF,G64,0,0,-59.072346,-52.861023,-25.236782,-67.333333,-55.333333,3,G,cMTG,100,,0,,0
,,0,1,-21.547569,-88.250099,-7.841176,-28.666667,-89.333333,29.333333,S,lateraloccipital,100,,0,,0
,,0,1,-31.439423,-84.156036,-8.359977,-38,-86,26,S,inferiorparietal,100,,0,,0
,,0,1,-39.556103,-78.920921,-10.824227,-46,-80,23,S,inferiorparietal,100,,0,,0
,,0,1,-45.969715,-72.578606,-14.016069,-51.333333,-74,16.666667,S,lateraloccipital,100,,0,,0
,,0,1,-51.803841,-65.385216,-16.948408,-58,-68,13,S,cMTG,100,,0,,0
,,0,1,-57.362659,-56.788307,-17.869669,-64,-59,12,S,cMTG,100,,0,,0
,,0,1,-61.779903,-48.277592,-21.011337,-68,-50.666667,6.666667,S,cSTG,100,,0,,0
,,0,1,-64.866898,-38.639038,-24.037806,-70.857143,-40.857143,2.285714,S,cMTG,100,,0,,0
,,0,1,2.996516,-73.349876,9.008677,-3,-74.666667,49.333333,S,precuneus,100,,0,,0
,,0,1,-2.214707,-72.241592,18.268417,-8.8,-75.6,60.8,S,superiorparietal,100,,0,,0
,,0,1,-11.031006,-70.869759,20.781719,-18,-74,62,S,superiorparietal,100,,0,,0
,,0,1,-20.464394,-68.150208,22.773726,-27,-69,65.333333,S,superiorparietal,100,,0,,0
,,0,1,-28.041178,-61.555573,25.466339,-35,-59,68,S,superiorparietal,100,,0,,0
,,0,1,-35.23719,-56.164337,24.335375,-44,-56,63,S,inferiorparietal,100,,0,,0
,,0,1,-41.866619,-50.266712,22.446432,-49.333333,-48,61.333333,S,superiorparietal,100,,0,,0
,,0,1,-50.125679,-43.927422,20.273972,-57,-39,54.5,S,supramarginal,100,,0,,0
,,0,1,-14.359678,24.21456,37.945202,-22.8,34.8,59.2,S,caudalmiddlefrontal,100,,0,,0
,,0,1,-24.111759,23.876013,34.501987,-33,31,51,S,caudalmiddlefrontal,100,,0,,0
,,0,1,-32.03368,23.209618,29.585657,-42,32,48,S,caudalmiddlefrontal,100,,0,,0
,,0,1,-40.370853,21.827797,24.754753,-49,28,42,S,rostralmiddlefrontal,100,,0,,0
,,0,1,-47.405369,20.868219,17.021288,-55.333333,26,35.333333,S,rostralmiddlefrontal,100,,0,,0
EEGAF_1REF,AF01,0,0,-1.275083,45.747257,1.164831,-4,51,15,S,superiorfrontal,100,,0,,0
EEGAF_2REF,AF02,0,0,-2.09485,55.620888,0.081092,-4,61,11,S,superiorfrontal,100,,0,,0
EEGAF_3REF,AF03,0,0,-5.713909,65.526138,-0.458175,-7.333333,70.666667,8,S,superiorfrontal,100,,0,,0
EEGAF_4REF,AF04,0,0,-15.043763,69.06073,-3.328934,-19,74,4,S,superiorfrontal,100,,0,,0
EEGAF_5REF,AF05,0,0,-25.157118,65.521278,-4.891014,-30,70,3,S,rostralmiddlefrontal,100,,0,,0
EEGAF_6REF,AF06,0,0,-33.471321,60.902737,-5.528265,-38,63,3,S,rostralmiddlefrontal,100,,0,,0
EEGAF_7REF,AF07,0,0,-42.819794,54.9659,-6.578694,-47.5,57.5,1.5,S,rostralmiddlefrontal,100,,0,,0
EEGAF_8REF,AF08,0,0,-47.689163,45.407257,-6.204191,-54.8,47.6,2.8,S,rostralmiddlefrontal,100,,0,,0
EEGIF_1REF,IF01,0,0,-10.065841,38.720207,-38.205841,-12.8,36.8,-26.4,S,lateralorbitofrontal,100,,0,,0
EEGIF_2REF,IF02,0,0,-17.236645,40.103432,-34.700035,-20.4,38.8,-24.8,S,lateralorbitofrontal,100,,0,,0
EEGIF_3REF,IF03,0,0,-26.859066,38.207958,-29.224138,-31,37,-23,S,lateralorbitofrontal,100,,0,,0
EEGIF_4REF,IF04,0,0,-37.01984,41.355122,-27.111563,-42.666667,41,-20.666667,S,parsorbitalis,100,,0,,0
EEGAT_1REF,AT01,0,0,-20.849979,9.750377,-55.649883,-20,5,-42,S,entorhinal,100,,0,,0
EEGAT_2REF,AT02,0,0,-23.827709,17.735594,-56.315254,-24,12.666667,-44.666667,S,temporalpole,100,,0,,0
EEGAT_3REF,AT03,0,0,-29.997128,24.216888,-51.230587,-33,20,-42,S,temporalpole,100,,0,,0
EEGAT_4REF,AT04,0,0,-37.012135,26.384115,-47.367168,-43,24,-40,S,temporalpole,100,,0,,0
EEGMT_1REF,MT01,0,0,-19.986458,-5.516791,-53.091434,-21.333333,-9,-37.333333,S,entorhinal,100,,0,,0
EEGMT_2REF,MT02,0,0,-27.149069,-4.437433,-59.965893,-30,-9,-43,S,fusiform,100,,0,,0
EEGMT_3REF,MT03,0,0,-36.285664,-2.104571,-62.790871,-39.333333,-8,-46.666667,S,inferiortemporal,100,,0,,0
EEGMT_4REF,MT04,0,0,-44.340359,2.906176,-60.621391,-48,-3,-46,S,inferiortemporal,100,,0,,0
EEGPT_1REF,PT01,0,0,-19.016479,-42.991058,-39.494114,-20.857143,-47.142857,-13.714286,S,lingual,100,,0,,0
EEGPT_2REF,PT02,0,0,-25.762655,-37.57835,-43.225132,-27.142857,-42.857143,-20.857143,S,fusiform,100,,0,,0
EEGPT_3REF,PT03,0,0,-32.612858,-31.285788,-47.635006,-35,-37,-26,S,fusiform,100,,0,,0
EEGPT_4REF,PT04,0,0,-40.38998,-24.798885,-50.433861,-47,-30,-29,S,inferiortemporal,100,,0,,0
EEGPT_5REF,PT05,0,0,-47.075462,-19.726789,-53.402351,-52.8,-24.4,-31.2,S,inferiortemporal,100,,0,,0
EEGPT_6REF,PT06,0,0,-55.394924,-13.730027,-54.497593,-60,-18.666667,-34.666667,S,inferiortemporal,100,,0,,0
EEGDAC_1REF,DAC01,0,0,0,15,14,-3.333333,20,36,D,ctx-lh-caudalanteriorcingulate,100,,0,,0
EEGDAC_2REF,DAC02,0,0,-4.555556,16,11.888889,-7.333333,20,30.666667,D,Left-Cerebral-White-Matter,48.15,ctx-lh-caudalanteriorcingulate,51.85,,0
EEGDAC_3REF,DAC03,0,0,-9.111111,17,9.777778,-13,20,26,D,Left-Cerebral-White-Matter,100,,0,,0
